,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Dist to CBD in Km,Sale Months Since Sep 2025,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km,Floor_Level_Category,Type_of_Sale_Encoded,Property_Type_Encoded,Market_Segment_Encoded
0,1.7387779027258456,0.8242206164711453,0.911232673106398,-1.1073967094262807,-1.7779780409009605,-0.8396697411079013,-0.9569692331925008,-0.841895577385186,1.349437828402114,-0.4922078853852959,0.08042852720079172,-0.5366397495182433,,-0.579929922711642,-0.9940091626758649
1,1.9217457948495855,0.9277341655210435,0.9620177817007785,0.5487898197100212,-1.7779780409009605,0.10464500087361633,1.9433640805456454,1.6806576388154197,-0.42993669041426524,1.0590948461043799,-0.4759491501738296,1.106123370498747,,-0.579929922711642,1.0060269437637854
2,0.41988434700055477,0.04776079628082763,0.4770199946244458,-0.6484071311106171,-1.7779780409009605,0.10464500087361633,-0.9569692331925008,-0.841895577385186,-1.319623949822455,-2.353771163172907,0.08042852720079172,-1.0842274561905734,1.2333306171898926,1.7243462715705207,-0.9940091626758649
3,-0.8685145600374462,-0.8581089939412094,0.0732783812991218,1.4524287993416745,-1.7779780409009605,-0.8396697411079013,-0.9569692331925008,-0.841895577385186,-0.42993669041426524,-0.4922078853852959,1.1931838819500344,-1.0842274561905734,1.2333306171898926,-0.579929922711642,1.0060269437637854
4,0.5311898147091632,-0.08164917375089178,0.9645570371304975,-1.1073967094262807,-1.7779780409009605,-0.8396697411079013,-0.9569692331925008,-0.841895577385186,1.349437828402114,-0.4922078853852959,0.08042852720079172,1.106123370498747,,-0.579929922711642,-0.9940091626758649
5,5.4896196912625115,2.2218338658382395,2.528738381837413,-1.1726029490443655,-1.7779780409009605,0.10464500087361633,-0.37690257044487163,-0.841895577385186,0.4597505689939244,-2.0435106168749715,0.636806204575413,-1.0842274561905734,-0.8108125964459317,-0.579929922711642,-0.9940091626758649
6,1.1853000290515328,0.021864375299006426,1.835521649524121,-1.2231053115214794,-1.7779780409009605,0.10464500087361633,0.7832307550503869,-0.841895577385186,3.1288123472184934,-0.18194733908736077,-2.1450821822976938,0.558535663826417,-0.8108125964459317,-0.579929922711642,-0.9940091626758649
7,0.9764116855435966,0.9018617894983512,-0.16287237366474697,1.0265878910469972,-1.7779780409009605,0.10464500087361633,0.7832307550503869,1.0500193347652682,-0.42993669041426524,1.0590948461043799,0.636806204575413,2.201298783843407,1.2333306171898926,1.7243462715705207,1.0060269437637854
8,2.5834796713637775,0.8242206164711453,1.982798464447824,0.5038988308414757,-1.7779780409009605,0.10464500087361633,1.3632974177980162,1.6806576388154197,-0.42993669041426524,1.369355392402315,0.08042852720079172,1.653711077171077,-0.8108125964459317,-0.579929922711642,1.0060269437637854
9,0.8513836259257077,-0.15929034677809795,1.7517262203433932,-1.2231053115214794,-1.7779780409009605,0.10464500087361633,0.7832307550503869,-0.841895577385186,3.1288123472184934,-0.18194733908736077,-2.1450821822976938,0.010947957154086805,-0.8108125964459317,-0.579929922711642,-0.9940091626758649
10,-1.066729776504831,-1.1169289340046484,0.4084600980220323,1.1289435022403247,-1.7779780409009605,0.10464500087361633,0.7832307550503869,1.0500193347652682,-0.42993669041426524,1.0590948461043799,1.1931838819500344,0.558535663826417,1.2333306171898926,-0.579929922711642,1.0060269437637854
11,0.18185531720704423,0.33245311236695935,-0.41679791663664884,0.18171246281618408,-1.7779780409009605,-0.8396697411079013,-0.9569692331925008,-0.841895577385186,-2.209311209230645,-0.802468431683231,-1.5887045049230724,-1.0842274561905734,1.2333306171898926,1.7243462715705207,-0.9940091626758649
12,-0.4415894784153867,-0.39223791081884474,-0.1577938628053089,0.44243350696243694,-1.7779780409009605,-0.8396697411079013,-0.37690257044487163,-0.21125727333503452,-0.42993669041426524,-0.802468431683231,-1.032326827548451,-1.0842274561905734,1.2333306171898926,1.7243462715705207,1.0060269437637854
13,-0.4873314514463217,-0.7028266478867974,0.5684331900943305,0.5487898197100212,-1.7779780409009605,0.10464500087361633,1.9433640805456454,1.6806576388154197,-0.42993669041426524,1.0590948461043799,-0.4759491501738296,0.010947957154086805,,-0.579929922711642,1.0060269437637854
14,-0.7587338247632023,-0.8581089939412094,0.372910522005966,1.4524287993416745,-1.7779780409009605,-0.8396697411079013,-0.9569692331925008,-0.841895577385186,-0.42993669041426524,-0.4922078853852959,1.1931838819500344,1.106123370498747,1.2333306171898926,-0.579929922711642,1.0060269437637854
15,-1.3747257282464596,-1.2463389040363682,-0.13494056393783774,0.44243350696243694,-1.7779780409009605,-0.8396697411079013,-0.37690257044487163,-0.21125727333503452,-0.42993669041426524,-0.802468431683231,-1.032326827548451,-1.0842274561905734,1.2333306171898926,1.7243462715705207,1.0060269437637854
