Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
26 NEWTON,2172000.0,1162.51,1868.0,2025-09-01,Resale,Strata,108.0,20111.0,Apartment,Freehold,11,Core Central Region,21 to 25,1.3156928164724,103.841615456446,26 NEWTON ROAD 26 NEWTON SINGAPORE 307957,3.762851610410245,61.0,3,2,2,14,13,6
26 NEWTON,1380000.0,613.55,2249.0,2025-09-01,Resale,Strata,57.0,24211.0,Apartment,Freehold,11,Core Central Region,06 to 10,1.3156928164724,103.841615456446,26 NEWTON ROAD 26 NEWTON SINGAPORE 307957,3.762851610410245,61.0,3,2,2,14,13,6
THE SHELFORD,4938000.0,2174.33,2271.0,2025-09-01,Resale,Strata,202.0,24446.0,Condominium,Freehold,11,Core Central Region,01 to 05,1.32561376215123,103.810731205358,1E SHELFORD ROAD THE SHELFORD SINGAPORE 286890,6.502869662773255,61.0,4,1,0,12,7,8
SHELFORD SUITES,2950000.0,1442.38,2045.0,2025-09-01,Resale,Strata,134.0,22015.0,Condominium,Freehold,11,Core Central Region,01 to 05,1.32660135432463,103.812654850327,16 SHELFORD ROAD SHELFORD SUITES SINGAPORE 288383,6.438582001199515,61.0,3,1,0,13,7,8
PAVILION 11,3008888.0,1485.43,2026.0,2025-09-01,Resale,Strata,138.0,21804.0,Condominium,Freehold,11,Core Central Region,01 to 05,1.32458602112842,103.848173371262,23 AKYAB ROAD PAVILION 11 SINGAPORE 309978,4.609115779437775,61.0,2,3,5,12,18,5
PARK INFINIA AT WEE NAM,4880000.0,2002.1,2437.0,2025-09-01,Resale,Strata,186.0,26237.0,Condominium,Freehold,11,Core Central Region,06 to 10,1.31441386999901,103.843291191875,2A LINCOLN ROAD PARK INFINIA AT WEE NAM SINGAPORE 308364,3.57796230174373,61.0,3,2,2,14,11,6
THE ARCADIA,10523000.0,6566.04,1603.0,2025-09-01,Resale,Strata,610.0,17251.0,Condominium,99 yrs lease commencing from 1979,11,Core Central Region,01 to 05,1.33337474399547,103.811275631559,235 ARCADIA ROAD THE ARCADIA SINGAPORE 289843,7.111379394487015,61.0,1,0,0,9,6,5
NEU AT NOVENA,1494888.0,548.96,2723.0,2025-08-01,Sub Sale,Strata,51.0,29312.0,Apartment,Freehold,11,Core Central Region,06 to 10,1.31961486592659,103.845969245127,27 MOULMEIN RISE NEU AT NOVENA SINGAPORE 308140,4.087211641971712,60.0,1,2,4,14,13,7
BUCKLEY RESIDENCE,988000.0,516.67,1912.0,2025-08-01,Resale,Strata,48.0,20583.0,Apartment,Freehold,11,Core Central Region,01 to 05,1.31720027050967,103.840532892335,6 BUCKLEY ROAD BUCKLEY RESIDENCE SINGAPORE 309762,3.9570389949636264,60.0,3,1,3,14,13,8
AMARYLLIS VILLE,2100000.0,979.52,2144.0,2025-08-01,Resale,Strata,91.0,23077.0,Condominium,99 yrs lease commencing from 1997,11,Core Central Region,11 to 15,1.31478233515073,103.841958399488,22 NEWTON ROAD AMARYLLIS VILLE SINGAPORE 307990,3.655547978307824,60.0,3,2,2,14,13,6
